39,9,9,37,69,48,68,20,22,39,9,9,9,12
34,20,24,24,24,48,20,22,21,21,24,24,20,32
34,24,68,68,48,48,48,48,48,48,20,24,24,32
34,24,69,48,44,23,23,21,23,48,20,20,24,32
34,45,48,51,23,44,22,23,22,48,48,48,24,32
34,24,68,51,48,48,48,48,48,48,20,48,45,32
34,24,48,48,68,68,68,48,48,69,24,48,24,32
34,44,24,48,48,48,48,48,24,24,24,48,24,42
34,24,23,48,27,27,27,27,68,24,24,48,24,24
34,24,48,48,48,48,48,48,48,48,48,48,68,24
34,20,48,24,24,20,27,48,48,24,24,24,27,24
34,24,48,24,20,27,27,48,48,24,69,68,27,68
34,20,68,24,20,20,27,68,48,48,48,48,48,48
36,35,35,35,35,35,35,35,35,35,35,43,68,48
